--------- Start Reading Airfoil -----------
Please input NACA AIRFOIL (e.g 0015 0012): 
Checking from databases...
OK, airfoil data has been read successfully...
0 0 0.0123137
1 0.0113725 8.94853e-06
2 0.0140372 2.45992e-05
3 0.0243338 8.30803e-05
4 0.0363751 0.000217077
5 0.0527591 -0
6 -0 0.000696074
7 0.072608 0.000930396
8 0.0699809 0.00122464
9 0.0694556 0.00156726
10 0.0693343 0.00195224
11 0.0691665 0.00237374
12 0.0687987 0.00282571
13 0.0681708 0.00330138
14 0.0672835 0.00379465
15 0.0661266 0.00429751
16 0.0647233 0.00480307
17 0.0631056 0.0053051
18 0.0612822 0.00579537
19 0.059286 0.00626778
20 0.0571403 0.00671573
21 0.0548699 0.00713324
22 0.0524997 0.00751499
23 0.0500548 0.00785646
24 0.0475543 0.00815305
25 0.0450165 0.00840074
26 0.0424685 0.00859823
27 0.0399226 0.00874251
28 0.0373966 0.00883254
29 0.0349042 0.00886752
30 0.0324638 0.00884905
31 0.0300812 0.00877645
32 0.0277706 0.0086524
33 0.0255421 0.00847968
34 0.0234002 0.00826024
35 0.0213545 0.00799866
36 0.0194077 0.0076982
37 0.0175651 0.00736381
38 0.0158283 0.00699975
39 0.0141985 0.00661085
40 0.012678 0.00620315
41 0.0112648 0.00578105
42 0.00995811 0.00534998
43 0.00875535 0.00491479
44 0.00765422 0.00448062
45 0.00665155 0.00405224
46 0.00574336 0.00363394
47 0.00492525 0.00322962
48 0.00419281 0.00284296
49 0.00354113 0.00247703
50 0.00296561 0.00213474
51 0.00246079 0.00181797
52 0.00202164 0.0015284
53 0.00164318 0.00126723
54 0.00132005 0.00103481
55 0.00104732 0.000831216
56 0.000820071 0.000655937
57 0.00063345 0.000507934
58 0.000482789 0.000385732
59 0.000363494 0.000287368
60 0.000271318 0.000210638
61 0.000202134 0.000152969
62 0.000152294 0.000111749
63 0.000118548 8.43433e-05
64 9.85034e-05 6.85612e-05
65 9.06795e-05 6.29069e-05
66 9.27323e-05 6.5629e-05
67 0.000104894 7.72358e-05
68 0.000130015 0.000100702
69 0.000169667 0.000138612
70 0.000225841 0.000194192
71 0.000300899 0.000271241
72 0.000397115 0.000373793
73 0.000516769 0.000506273
74 0.000661707 0.000673161
75 0.000833592 0.000879295
76 0.00103355 0.00112955
77 0.00126227 0.001429
78 0.0015199 0.00178276
79 0.00180596 0.00219594
80 0.00211981 0.00267414
81 0.00245984 0.00322247
82 0.00282401 0.00384611
83 0.00321016 0.00455076
84 0.00361497 0.00534102
85 0.00403509 0.00622193
86 0.00446656 0.00719791
87 0.00490522 0.00827338
88 0.00534661 0.00945234
89 0.00578571 0.0107378
90 0.00621723 0.0121319
91 0.00663629 0.013637
92 0.00703733 0.0152535
93 0.00741607 0.0169836
94 0.00776641 0.0188241
95 0.00808366 0.0207733
96 0.00836373 0.0228295
97 0.00860184 0.0249865
98 0.00879505 0.0272412
99 0.00893899 0.0295831
100 0.00903212 0.0320073
101 0.009072 0.0345028
102 0.00905635 0.0370539
103 0.00898634 0.0396551
104 0.00886078 0.0422863
105 0.00868097 0.0449329
106 0.00844842 0.0475761
107 0.00816665 0.0502033
108 0.00783742 0.0527852
109 0.00746523 0.0553028
110 0.00705514 0.0577359
111 0.00661205 0.0600581
112 0.00614173 0.062243
113 0.00565047 0.0642636
114 0.00514519 0.0660954
115 0.00463227 0.0677016
116 0.00412004 0.0690721
117 0.00361492 0.070169
118 0.00312393 0.0709607
119 0.00265491 0.0714471
120 0.0022139 0.0716025
121 0.00180715 0.0714381
122 0.00143889 0.0709814
123 0.0011062 0.070271
124 0.000776622 0.0690028
125 0.00045167 0.0639285
126 0.000228769 0.0507979
127 0.000101518 0.0371787
128 3.67063e-05 0.0254479
129 9.78804e-06 0.0149052
130 0 0.0123137
